,scientific_name,red_list_category,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name,country_state,animal_name,latitude,longitude
8463,Eubalaena japonica,Endangered,2017,Unknown,Marine,Nearctic|Palearctic,Global,Vertebrates,Mammals,,,,
8464,Tursiops aduncus,Near Threatened,2019,Unknown,Marine,Afrotropical|Australasian|Indomalayan|Palearctic,Global,Vertebrates,Mammals,,,,
8465,Neophocaena asiaeorientalis,Endangered,2017,Decreasing,Freshwater & Marine,Palearctic,Global,Vertebrates,Mammals,,,,
8466,Platanista gangetica,Endangered,2021,Decreasing,Freshwater,Indomalayan,Global,Vertebrates,Mammals,,,,
8467,Platanista minor,Endangered,2021,Increasing,Freshwater,Indomalayan,Global,Vertebrates,Mammals,Pakistan (Indus R. and tributaries),"Dolphin, Indus River",,
8468,Mesoplodon perrini,Endangered,2020,Decreasing,Marine,Nearctic,Global,Vertebrates,Mammals,AU,,-25.274398,133.775136
8469,Sotalia fluviatilis,Endangered,2020,Decreasing,Freshwater,Neotropical,Global,Vertebrates,Mammals,,,,
8470,Neophocaena phocaenoides,Vulnerable,2017,Decreasing,Marine,Afrotropical|Indomalayan|Palearctic,Global,Vertebrates,Mammals,CN,,35.86166,104.195397
8471,Myosorex cafer,Vulnerable,2017,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8472,Ellisella paraplexauroides,Vulnerable,2014,Decreasing,Marine,Palearctic,Mediterranean,Cnidarias,Sea anemones & corals,,,,
8473,Viminella flagellum,Near Threatened,2014,Unknown,Marine,Palearctic,Mediterranean,Cnidarias,Sea anemones & corals,,,,
8474,Isidella elongata,Critically Endangered,2014,Decreasing,Marine,Palearctic,Mediterranean,Cnidarias,Sea anemones & corals,,,,
8475,Eunicella cavolini,Near Threatened,2014,Decreasing,Marine,Palearctic,Mediterranean,Cnidarias,Sea anemones & corals,,,,
8476,Eunicella filiformis,Near Threatened,2014,Decreasing,Marine,Palearctic,Mediterranean,Cnidarias,Sea anemones & corals,,,,
8477,Eunicella singularis,Near Threatened,2014,Decreasing,Marine,Palearctic,Mediterranean,Cnidarias,Sea anemones & corals,,,,
8478,Callogorgia verticillata,Near Threatened,2014,Unknown,Marine,Palearctic,Mediterranean,Cnidarias,Sea anemones & corals,,,,
8479,Leopardus tigrinus,Vulnerable,2016,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Mammals,,,,
8480,Leopardus wiedii,Near Threatened,2014,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Mammals,FR,,46.227638,2.213749
8481,Leopardus guigna,Vulnerable,2014,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Mammals,,,,
8482,Leopardus jacobita,Endangered,2014,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Mammals,,,,
8483,Prionailurus planiceps,Endangered,2014,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Mammals,,,,
8484,Prionailurus rubiginosus,Near Threatened,2014,Decreasing,Terrestrial,Indomalayan,Global,Vertebrates,Mammals,GB,,55.378051,-3.435973
8485,Caracal aurata,Vulnerable,2014,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8486,Panthera uncia,Vulnerable,2016,Decreasing,Terrestrial,Indomalayan|Palearctic,Global,Vertebrates,Mammals,,,,
8487,Bubalus mindorensis,Critically Endangered,2016,Decreasing,Terrestrial,Indomalayan,Global,Vertebrates,Mammals,Philippines,Tamaraw,,
8488,Cochranella euhystrix,Critically Endangered,2018,Unknown,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8489,Atractus modestus,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8490,Coniophanes dromiciformis,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8491,Polychrus peruvianus,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8492,Antipathes dichotoma,Near Threatened,2014,Decreasing,Marine,Palearctic,Mediterranean,Cnidarias,Sea anemones & corals,,,,
8493,Leiopathes glaberrima,Endangered,2014,Decreasing,Marine,Palearctic,Mediterranean,Cnidarias,Sea anemones & corals,,,,
8494,Parantipathes larix,Near Threatened,2014,Decreasing,Marine,Palearctic,Mediterranean,Cnidarias,Sea anemones & corals,,,,
8495,Antipathella subpinnata,Near Threatened,2014,Decreasing,Marine,Palearctic,Mediterranean,Cnidarias,Sea anemones & corals,,,,
8496,Craugastor evanesco,Critically Endangered,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8497,Ectopoglossus isthminus,Endangered,2015,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8498,Diasporus igneus,Critically Endangered,2016,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Amphibians,,,,
8499,Pristimantis adnus,Near Threatened,2019,Stable,Terrestrial,Neotropical,Global,Vertebrates,Amphibians,,,,
8500,Bolitoglossa chinanteca,Near Threatened,2019,Stable,Terrestrial,Neotropical,Global,Vertebrates,Amphibians,,,,
8501,Bolitoglossa omniumsanctorum,Endangered,2019,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Amphibians,,,,
8502,Bolitoglossa zacapensis,Vulnerable,2019,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Amphibians,,,,
8503,Bolitoglossa morio,Vulnerable,2019,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Amphibians,,,,
8504,Anolis bitectus,Endangered,2014,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8505,Anolis orcesi,Near Threatened,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8506,Anolis otongae,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8507,Anolis parilis,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8508,Anolis podocarpus,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8509,Anolis vanzolini,Critically Endangered,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8510,Riama anatoloros,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8511,Andinosaura aurea,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8512,Riama cashcaensis,Endangered,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8513,Riama colomaromani,Endangered,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8514,Andinosaura crypta,Endangered,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8515,Andinosaura kiziriani,Endangered,2018,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8516,Riama labionis,Endangered,2014,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8517,Riama orcesi,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8518,Riama raneyi,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8519,Oreosaurus rhodogaster,Critically Endangered,2014,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8520,Riama unicolor,Vulnerable,2018,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8521,Andinosaura vespertina,Vulnerable,2018,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8522,Echinosaura keyi,Vulnerable,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Reptiles,,,,
8523,Stenocercus carrioni,Endangered,2014,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8524,Stenocercus limitaris,Vulnerable,2016,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8525,Stenocercus ornatus,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8526,Stenocercus rhodomelas,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8527,Stenocercus simonsii,Endangered,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8528,Stenocercus varius,Endangered,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8529,Stenocercus doellojuradoi,Near Threatened,2014,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8530,Atractus carrioni,Endangered,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8531,Atractus duboisi,Endangered,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8532,Atractus dunni,Near Threatened,2014,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
8533,Atractus microrhynchus,Vulnerable,2014,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Reptiles,,,,
