,scientific_name,red_list_category,year_published,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name
16287,Caridina gortio,Vulnerable,2013,2011-11-17 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16288,Typhlocaridina lanceifrons,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16289,Neocaridina brevidactyla,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16290,Marosina brevirostris,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16291,Macrobrachium lingyunense,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16292,Potamalpheops amnicus,Endangered,2013,2011-11-28 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16293,Edoneus marulas,Vulnerable,2013,2012-06-26 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16294,Caridina annandalei,Endangered,2013,2011-11-21 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16295,Typhlocaridina liui,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16296,Edoneus atheatus,Critically Endangered,2013,2011-11-16 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16297,Atyoida bisulcata,Near Threatened,2013,2011-11-23 00:00:00 UTC,Unknown,Freshwater & Marine,Oceanian,Global,Invertebrates,Crustaceans
16298,Caridina caverna,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16299,Caridina valencia,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16300,Caridina minidentata,Vulnerable,2013,2011-11-17 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16301,Caridina batuan,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16302,Edoneus erwini,Vulnerable,2013,2011-11-16 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16303,Marosina longirostris,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16304,Caridina acuta,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16305,Parisia macrophora,Vulnerable,2013,2011-11-17 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16306,Caridina demenica,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16307,Caridina cavernicola,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
16308,Caridina mengae,Vulnerable,2013,2011-11-19 00:00:00 UTC,Unknown,Freshwater,Indomalayan,Global,Invertebrates,Crustaceans
