,scientific_name,red_list_category,year_published,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name
169,Cuora mouhotii,Endangered,2020,2018-03-13 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,REPTILIA
170,Cyclemys oldhamii,Endangered,2021,2018-03-13 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,REPTILIA
171,Centrochelys sulcata,Endangered,2021,2020-08-29 00:00:00 UTC,Decreasing,Terrestrial,Afrotropical,Global,CHORDATA,REPTILIA
172,Pelusios niger,Near Threatened,2019,2018-05-20 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Afrotropical,Global,CHORDATA,REPTILIA
173,Cycloderma aubryi,Vulnerable,2017,2016-06-13 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Afrotropical,Global,CHORDATA,REPTILIA
174,Batagur borneoensis,Critically Endangered,2021,2018-03-12 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)|Marine,Indomalayan,Global,CHORDATA,REPTILIA
175,Varanus bengalensis,Near Threatened,2021,2018-06-08 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan|Palearctic,Global,CHORDATA,REPTILIA
176,Alsophylax laevis,Critically Endangered,2017,2008-12-14 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,Global,CHORDATA,REPTILIA
177,Naja oxiana,Near Threatened,2021,2016-04-05 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan|Palearctic,Global,CHORDATA,REPTILIA
178,Eryx johnii,Near Threatened,2021,2019-09-05 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan|Palearctic,Global,CHORDATA,REPTILIA
179,Pegias fabula,Critically Endangered,2012,2012-06-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
180,Islamia pseudorientalica,Critically Endangered,2014,2009-11-19 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Palearctic,Global & Mediterranean,MOLLUSCA,GASTROPODA
181,Anodonta vescoiana,Near Threatened,2014,2013-04-04 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Palearctic,Global,MOLLUSCA,BIVALVIA
182,Leguminaia saulcyi,Critically Endangered,2014,2013-04-25 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Palearctic,Global,MOLLUSCA,BIVALVIA
